X,Y,rowid,cad_tot_houses,cad_tot_hab,cad_tot_hotels,cad_med_consq,cad_tot_parcs,cad_pk,cad_tot_srf_houses,cad_tot_srf_hotels,fc_tot_offer,fc_tot_owners,fc_avg_price,rn_ab_min_price,rn_fc_med_price,rn_fc_max_price,rn_fc_offer,rn_ab_tot_price,rn_fc_min_price,rn_ab_med_price,rn_ab_avg_price,rn_fc_avg_price,rn_ab_max_price,rn_ab_offer,rn_fc_tot_price,abnb_tot_beds,abnb_tot_hosts_listings,abnb_tot_price,abnb_tot_offer,abnb_tot_owners,abnb_pk,abnb_tot_reviews,abnb_tot_reviews_per_month,fl_n_tourists,fl_n_locals,fl_txt_madrid,fl_n_date,fl_n_user,fl_n_posts,fl_tag_madrid,h_cat3cod,h_id,h_web,h_title,h_zipcode,h_latitude,h_email,h_body,h_fax,h_phone,h_cat3txt,h_subadministrativearea,h_address,h_cat1txt,h_cat2txt,h_name,h_language,h_cat2cod,h_country,h_locality,h_longitude,h_cat1cod,local200_n_shops24h,local200_n_shops,local200_n_prox_fresco,local200_n_prox_supers,local200_n_epigrafes,local200_n_alquillercoche,local200_n_prox_alcohol,local200_n_fiesta,local200_n_prox_noalim,local200_n_alojamiento,local200_n_prox_educacion,local200_n_vacios,local200_n_locutoris,local200_n_restaurants,local200_n_desconocidos,local200_n_prox_pastelerias,local200_n_prox_supersbig,local200_n_agrupaciones,local200_n_locales,local200_n_sex,local300_n_shops24h,local300_n_shops,local300_n_prox_fresco,local300_n_prox_supers,local300_n_epigrafes,local300_n_alquillercoche,local300_n_prox_alcohol,local300_n_fiesta,local300_n_prox_noalim,local300_n_alojamiento,local300_n_prox_educacion,local300_n_vacios,local300_n_locutoris,local300_n_restaurants,local300_n_desconocidos,local300_n_prox_pastelerias,local300_n_prox_supersbig,local300_n_agrupaciones,local300_n_locales,local300_n_sex,tp_pricerange_tot,tp_rating_tot,tp_reviews_max,tp_reviews_min,tp_offers_tot,tp_reviews_med,tp_rating_avg,tp_pricerange_1,tp_pricerange_avg,tp_pricerange_3,tp_pricerange_2,tp_pricerange_0,tp_pricerange_med,tp_rating_min,tp_rating_med,tp_rating_max,tp_pk,tp_reviews_tot,tp_reviews_avg,rn_med_tramo
447000.0,4488869.475435880944133,4435,,,,,,,,,1,1,12.5,,700.0,700.0,1,,700.0,,,700.0,,,700.0,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447000.0,4480036.016317279078066,4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,11,0,0,0,0,0,0,0,0,3,0,1,0,0,11,0,,,,,,,,,,,,,,,,,,,,
447000.0,4471202.557198678143322,4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,69,0,0,0,2,0,0,3,0,0,3,0,0,1,217,0,,,,,,,,,,,,,,,,,,,,
447000.0,4484539.348416958935559,4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
447000.0,4475705.889298357069492,4439,728,1471,0,7,25,5041,41512,0,4,3,11.5772727272727,,597.5,625.0,4,,550.0,,,592.5,,,2370.0,12,9,39.0,3,1,2399,18,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,25,1,62,0,0,0,6,0,3,1,3,19,0,3,0,0,152,0,0,0,37,3,75,0,0,0,7,0,5,1,3,32,0,6,0,0,236,0,,,,,,,,,,,,,,,,,,,,1
447000.0,4480209.221398035995662,4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,8,0,0,0,0,0,0,0,0,3,0,1,0,0,9,0,0,0,1,1,9,0,0,0,0,0,0,0,0,3,0,1,0,0,10,0,,,,,,,,,,,,,,,,,,,,
447000.0,4471375.762279435060918,4441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,,,,,,,,,,,,,,,,,,,,5
447000.0,4484712.553497715853155,4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
447000.0,4475879.094379113987088,4443,510,1156,0,5,32,5042,53203,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,33,1,74,0,0,0,7,0,2,1,3,22,0,5,0,0,203,0,0,0,45,6,91,0,0,0,8,0,6,1,3,37,0,9,0,0,309,0,1,1,1,1,1,1.0,2.0,0,0.0,0,0,1,0.0,2.0,2.0,2.0,2031,1,1.0,5
447000.0,4480382.426478792913258,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,7,0,0,0,0,0,0,0,0,3,0,1,0,0,8,0,0,0,1,1,8,0,0,0,0,0,1,0,0,3,0,1,0,0,9,0,,,,,,,,,,,,,,,,,,,,
